CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF
3005;2922250;Muquem de Sao Francisco;Muquem do Sao Francisco;BA
3007;2922730;NOVA FATIMA;Nova Fatima;BA
3009;2922755;NOVA IBIA;Nova Ibia;BA
3011;2922854;NOVA REDENCAO;Nova Redencao;BA
3013;2923035;NOVO HORIZONTE;Novo Horizonte;BA
3015;2923050;NOVO TRIUNFO;Novo Triunfo;BA
3017;2923357;OUROLANDIA;Ourolandia;BA
3019;2924678;PIRAI DO NORTE;Pirai do Norte;BA
3021;2925253;PONTO NOVO;Ponto Novo;BA
3023;2925758;PRESIDENTE TANCREDO NEVES;Presidente Tancredo Neves;BA
3025;2925931;QUIXABEIRA;Quixabeira;BA
3027;2926657;RIBEIRAO DO LARGO;Ribeirao do Largo;BA
3029;2928950;SAO DOMINGOS;Sao Domingos;BA
3031;2929057;SAO FELIX DO CORIBE;Sao Felix do Coribe;BA
3033;2929370;SAO JOSE DO JACUIPE;Sao Jose do Jacuipe;BA
3035;2929354;SAO JOSE DA VITORIA;Sao Jose da Vitoria;BA
3037;2929750;SAUBARA;Saubara;BA
3039;2930154;SERRA DO RAMALHO;Serra do Ramalho;BA
3041;2930758;SITIO DO MATO;Sitio do Mato;BA
3043;2930766;SITIO DO QUINTO;Sitio do Quinto;BA
3045;2930774;SOBRADINHO;Sobradinho;BA
3047;2932457;UMBURANAS;Umburanas;BA
3049;2933174;VARZEDO;Varzedo;BA
3051;2933257;VEREDA;Vereda;BA
3069;2918555;JUSSARI;Jussari;BA
3071;2901155;AMERICA DOURADA;America Dourada;BA
3073;2902252;ARATACA;Arataca;BA
3075;2903235;BARRO ALTO;Barro Alto;BA
3079;2904753;BURITIRAMA;Buritirama;BA
3081;2906857;CAPELA DO ALTO ALEGRE;Capela do Alto Alegre;BA
3083;2906873;CAPIM GROSSO;Capim Grosso;BA
3085;2906824;CANUDOS;Canudos;BA
3087;2910057;DIAS D'AVILA;Dias d'Avila;BA
3089;2910750;FATIMA;Fatima;BA
3091;2910859;FILADELFIA;Filadelfia;BA
3093;2911253;GAVIAO;Gaviao;BA
3095;2911659;GUAJERU;Guajeru;BA
3097;2911857;HELIOPOLIS;Heliopolis;BA
3099;2918357;JOAO DOURADO;Joao Dourado;BA
3117;2910727;EUNAPOLIS;Eunapolis;BA
3253;2900355;ADUSTINA;Adustina;BA
3255;2901353;ANDORINHA;Andorinha;BA
3257;2901957;APUAREMA;Apuarema;BA
3259;2902054;ARACAS;Aracas;BA
3261;2902658;BANZAE;Banzae;BA
3263;2903953;BOM JESUS DA SERRA;Bom Jesus da Serra;BA
3265;2904050;BONITO;Bonito;BA
3267;2904852;CABACEIRAS DO PARAGUACU;Cabaceiras do Paraguacu;BA
3269;2905156;CAETANOS;Caetanos;BA
3271;2906899;CARAIBAS;Caraibas;BA
3273;2907558;CATURAMA;Caturama;BA
3275;2910776;FEIRA DA MATA;Feira da Mata;BA
3277;2913457;IGRAPIUNA;Igrapiuna;BA
3279;2914653;ITABELA;Itabela;BA
3281;2915353;ITAGUACU DA BAHIA;Itaguacu da Bahia;BA
3283;2916856;ITATIM;Itatim;BA
3285;2917334;IUIU;Iuiu;BA
3287;2918456;JUCURUCU;Jucurucu;BA
3289;2918753;LAGOA REAL;Lagoa Real;BA
3291;2919058;Lajedo do Tabocal;Lajedo do Tabocal;BA
3293;2919926;MADRE DE DEUS;Madre de Deus;BA
3295;2921054;MATINA;Matina;BA
3297;2921450;MIRANTE;Mirante;BA
3299;2922052;MULUNGU DO MORRO;Mulungu do Morro;BA
3301;2900108;ABAIRA;Abaira;BA
3303;2900207;ABARE;Abare;BA
3305;2900306;ACAJUTIBA;Acajutiba;BA
3307;2900405;AGUA FRIA;Agua Fria;BA
3309;2900504;ERICO CARDOSO;Erico Cardoso;BA
3311;2900603;AIQUARA;Aiquara;BA
3313;2900702;ALAGOINHAS;Alagoinhas;BA
3315;2900801;ALCOBACA;Alcobaca;BA
3317;2900900;ALMADINA;Almadina;BA
3319;2901007;AMARGOSA;Amargosa;BA
3321;2901106;AMELIA RODRIGUES;Amelia Rodrigues;BA
3323;2901205;ANAGE;Anage;BA
3325;2901304;ANDARAI;Andarai;BA
3327;2901403;ANGICAL;Angical;BA
3329;2901502;ANGUERA;Anguera;BA
3331;2901601;ANTAS;Antas;BA
3333;2901700;ANTONIO CARDOSO;Antonio Cardoso;BA
3335;2901809;ANTONIO GONCALVES;Antonio Goncalves;BA
3337;2901908;APORA;Apora;BA
3339;2902005;ARACATU;Aracatu;BA
3341;2902104;ARACI;Araci;BA
3343;2902203;ARAMARI;Aramari;BA
3345;2902302;ARATUIPE;Aratuipe;BA
3347;2902401;AURELINO LEAL;Aurelino Leal;BA
3349;2902500;BAIANOPOLIS;Baianopolis;BA
3351;2902609;BAIXA GRANDE;Baixa Grande;BA
